CODE,PARENTCODE,LEAF,LEVELCODE,TYPE,ISOCODE,NAME
A 01.19.90,A 01.19.9,1,6,N,it,Coltivazione di piante da foraggio e di altre colture non permanenti
A 01.2,A 01,0,3,N,it,COLTIVAZIONE DI COLTURE PERMANENTI
A 01.21,A 01.2,0,4,N,it,Coltivazione di uva
A 01.21.0,A 01.21,0,5,N,it,Coltivazione di uva
A 01.21.00,A 01.21.0,1,6,N,it,Coltivazione di uva
A 01.22,A 01.2,0,4,N,it,Coltivazione di frutta di origine tropicale e subtropicale
A 01.22.0,A 01.22,0,5,N,it,Coltivazione di frutta di origine tropicale e subtropicale
A 01.22.00,A 01.22.0,1,6,N,it,Coltivazione di frutta di origine tropicale e subtropicale
A 01.23,A 01.2,0,4,N,it,Coltivazione di agrumi
A 01.23.0,A 01.23,0,5,N,it,Coltivazione di agrumi
A 01.23.00,A 01.23.0,1,6,N,it,Coltivazione di agrumi
A 01.24,A 01.2,0,4,N,it,Coltivazione di pomacee e frutta a nocciolo
A 01.24.0,A 01.24,0,5,N,it,Coltivazione di pomacee e frutta a nocciolo
A 01.24.00,A 01.24.0,1,6,N,it,Coltivazione di pomacee e frutta a nocciolo
A 01.25,A 01.2,0,4,N,it,"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
A 01.25.0,A 01.25,0,5,N,it,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
A 01.25.00,A 01.25.0,1,6,N,it,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
A 01.26,A 01.2,0,4,N,it,Coltivazione di frutti oleosi
A 01.26.0,A 01.26,0,5,N,it,Coltivazione di frutti oleosi
A 01.26.00,A 01.26.0,1,6,N,it,Coltivazione di frutti oleosi
A 01.27,A 01.2,0,4,N,it,Coltivazione di piante per la produzione di bevande
A 01.27.0,A 01.27,0,5,N,it,Coltivazione di piante per la produzione di bevande
A 01.27.00,A 01.27.0,1,6,N,it,Coltivazione di piante per la produzione di bevande
A 01.28,A 01.2,0,4,N,it,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
A 01.28.0,A 01.28,0,5,N,it,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
A 01.28.00,A 01.28.0,1,6,N,it,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
A 01.29,A 01.2,0,4,N,it,Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A 01.29.0,A 01.29,0,5,N,it,Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A 01.29.00,A 01.29.0,1,6,N,it,Coltivazione di altre colture permanenti (inclusi alberi di Natale)
A 01.3,A 01,0,3,N,it,RIPRODUZIONE DELLE PIANTE
A 01.30,A 01.3,0,4,N,it,Riproduzione delle piante
A 01.30.0,A 01.30,0,5,N,it,Riproduzione delle piante
A 01.30.00,A 01.30.0,1,6,N,it,Riproduzione delle piante
A 01.4,A 01,0,3,N,it,ALLEVAMENTO DI ANIMALI
A 01.41,A 01.4,0,4,N,it,Allevamento di bovini da latte
A 01.41.0,A 01.41,0,5,N,it,"Allevamento di bovini e bufale da latte, produzione di latte crudo"
A 01.41.00,A 01.41.0,1,6,N,it,"Allevamento di bovini e bufale da latte, produzione di latte crudo"
A 01.42,A 01.4,0,4,N,it,Allevamento di altri bovini e di bufalini
A 01.42.0,A 01.42,0,5,N,it,Allevamento di bovini e bufalini da carne
A 01.42.00,A 01.42.0,1,6,N,it,Allevamento di bovini e bufalini da carne
A 01.43,A 01.4,0,4,N,it,Allevamento di cavalli e altri equini
A 01.43.0,A 01.43,0,5,N,it,Allevamento di cavalli e altri equini
A 01.43.00,A 01.43.0,1,6,N,it,Allevamento di cavalli e altri equini
A 01.44,A 01.4,0,4,N,it,Allevamento di cammelli e camelidi
A 01.44.0,A 01.44,0,5,N,it,Allevamento di cammelli e camelidi
A 01.44.00,A 01.44.0,1,6,N,it,Allevamento di cammelli e camelidi
A 01.45,A 01.4,0,4,N,it,Allevamento di ovini e caprini
A 01.45.0,A 01.45,0,5,N,it,Allevamento di ovini e caprini
